,Station,Latitude,Longitude
173,Cornell Dr & Hayes Dr,41.780595,-87.584846
174,Wells St & Concord Ln,41.912133000000004,-87.634656
175,Damen Ave & Wellington Ave,41.93588,-87.67841999999999
176,Wentworth Ave & 63rd St,41.780079633,-87.629746305
177,Sheffield Ave & Willow St,41.913688,-87.652855
178,Exchange Ave & 79th St,41.751731,-87.552812
179,Halsted St & 69th St,41.76906172,-87.64461357799999
180,Avondale Ave & Irving Park Rd,41.953393,-87.73200200000001
181,Racine Ave & 18th St,41.858166,-87.65649499999999
182,Cottage Grove Ave & 43rd St,41.816499,-87.60658199999999
183,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639
184,Archer (Damen) Ave & 37th St,41.826712,-87.683144
185,Stetson Ave & South Water St,41.886835,-87.62232
186,Halsted St & Maxwell St,41.864883,-87.647071
187,Menard Ave & Division St,41.902269,-87.77048070000001
188,Orleans St & Elm St,41.902924,-87.637715
189,Karlov Ave & Madison St,41.88085,-87.727907
190,Clark St & Jarvis Ave,42.015963,-87.675005
191,Wilton Ave & Belmont Ave,41.94018,-87.65304
192,Morgan Ave & 14th Pl,41.862378,-87.651062
193,Broadway & Cornelia Ave,41.945529,-87.646439
194,Halsted St & Roscoe St,41.943670000000004,-87.64895
195,Austin Blvd & Chicago Ave,41.894887,-87.774704
196,Sheffield Ave & Wrightwood Ave,41.928712,-87.65383299999999
197,Wells St & Huron St,41.894721999999994,-87.634362
198,Damen Ave & Thomas St (Augusta Blvd),41.901315000000004,-87.677409
199,Lincoln Ave & Fullerton Ave,41.924161029000004,-87.646380365
200,Perry Ave & 69th St,41.76929309,-87.628195929
201,Calumet Ave & 71st St,41.765508006,-87.616917925
202,Jeffery Blvd & 76th St,41.757120068,-87.575839359
203,Greenview Ave & Jarvis Ave,42.015962,-87.66856999999999
204,Rainbow Beach,41.757871448,-87.54938625
205,Kedzie Ave & Milwaukee Ave,41.929567,-87.70785699999999
206,South Shore Dr & 74th St,41.76218896,-87.55927465
207,LaSalle St & Adams St,41.879344373,-87.63198522100001
208,Throop St & 52nd St,41.799659000000005,-87.657195
209,Wabash Ave & 87th St,41.736646,-87.62263399999999
210,Whipple/Irving Park,41.954189,-87.704448
211,Wentworth Ave & 33rd St,41.834529886,-87.631822981
212,Noble St & Milwaukee Ave,41.90068,-87.6626
213,Ashland Ave & Blackhawk St,41.907066,-87.667252
214,Stony Island Ave & South Chicago Ave,41.751173,-87.585337
215,Western Ave & 21st St,41.854109,-87.685838
216,Lincoln Ave & Addison St,41.946176,-87.67330799999999
217,Western Ave & Howard St,42.018901,-87.690048
218,Cicero Ave & Quincy St,41.877613000000004,-87.745405
219,Canal St & Harrison St,41.874255,-87.639573
220,Princeton Ave & Garfield Blvd,41.794982,-87.633124
221,Prairie Ave & Garfield Blvd,41.794853,-87.618691
222,Leavitt St & Chicago Ave,41.895501,-87.682017
223,Racine Ave & Wrightwood Ave,41.928886999999996,-87.658971
224,Laramie Ave & Madison St,41.880207,-87.755337
225,Western Ave & Monroe St,41.879787709,-87.68611280799999
226,Sedgwick St & North Ave,41.911386,-87.638677
227,Wells St & Hubbard St,41.889905999999996,-87.634266
228,2112 W Peterson Ave,41.991178000000005,-87.683593
229,Morgan St & 18th St,41.858086,-87.651073
230,900 W Harrison St,41.874753999999996,-87.649807
231,Southport Ave & Waveland Ave,41.94815,-87.66394
232,Canal St & Madison St,41.882090999999996,-87.639833
233,Carpenter St & Huron St,41.894556,-87.653449
